Year,SERIES,REF_AREA,SEX,AGE,URBANISATION,EDUCATION_LEV,INCOME_WEALTH_QUANTILE,UNIT_MEASURE,UNIT_MULT,REPORTING_TYPE,TIME_DETAIL,Value
2016,SL_ISV_IFEM,ET,F,_T,U,_T,_T,PT,0,N,2016,35.6
2018,SL_ISV_IFEM,ET,F,_T,U,_T,_T,PT,0,N,2018,28.2
2016,SL_ISV_IFEM,ET,M,_T,U,_T,_T,PT,0,N,2016,19.8
2018,SL_ISV_IFEM,ET,M,_T,U,_T,_T,PT,0,N,2018,17.1
2016,SL_ISV_IFEM,ET01,F,_T,U,_T,_T,PT,0,N,2016,33.0
2018,SL_ISV_IFEM,ET01,F,_T,U,_T,_T,PT,0,N,2018,26.0
2016,SL_ISV_IFEM,ET01,M,_T,U,_T,_T,PT,0,N,2016,16.1
2018,SL_ISV_IFEM,ET01,M,_T,U,_T,_T,PT,0,N,2018,12.3
2016,SL_ISV_IFEM,ET02,F,_T,U,_T,_T,PT,0,N,2016,45.1
2018,SL_ISV_IFEM,ET02,F,_T,U,_T,_T,PT,0,N,2018,48.8
2016,SL_ISV_IFEM,ET02,M,_T,U,_T,_T,PT,0,N,2016,25.9
2018,SL_ISV_IFEM,ET02,M,_T,U,_T,_T,PT,0,N,2018,32.4
2016,SL_ISV_IFEM,ET03,F,_T,U,_T,_T,PT,0,N,2016,35.8
2018,SL_ISV_IFEM,ET03,F,_T,U,_T,_T,PT,0,N,2018,32.0
2016,SL_ISV_IFEM,ET03,M,_T,U,_T,_T,PT,0,N,2016,17.2
2018,SL_ISV_IFEM,ET03,M,_T,U,_T,_T,PT,0,N,2018,16.0
2016,SL_ISV_IFEM,ET04,F,_T,U,_T,_T,PT,0,N,2016,42.0
2018,SL_ISV_IFEM,ET04,F,_T,U,_T,_T,PT,0,N,2018,36.0
2016,SL_ISV_IFEM,ET04,M,_T,U,_T,_T,PT,0,N,2016,24.7
2018,SL_ISV_IFEM,ET04,M,_T,U,_T,_T,PT,0,N,2018,22.3
2016,SL_ISV_IFEM,ET05,F,_T,U,_T,_T,PT,0,N,2016,48.9
2018,SL_ISV_IFEM,ET05,F,_T,U,_T,_T,PT,0,N,2018,37.3
2016,SL_ISV_IFEM,ET05,M,_T,U,_T,_T,PT,0,N,2016,29.5
2018,SL_ISV_IFEM,ET05,M,_T,U,_T,_T,PT,0,N,2018,21.1
2016,SL_ISV_IFEM,ET06,F,_T,U,_T,_T,PT,0,N,2016,44.8
2018,SL_ISV_IFEM,ET06,F,_T,U,_T,_T,PT,0,N,2018,48.2
2016,SL_ISV_IFEM,ET06,M,_T,U,_T,_T,PT,0,N,2016,22.2
2018,SL_ISV_IFEM,ET06,M,_T,U,_T,_T,PT,0,N,2018,31.7
2016,SL_ISV_IFEM,ET07,F,_T,U,_T,_T,PT,0,N,2016,45.1
2018,SL_ISV_IFEM,ET07,F,_T,U,_T,_T,PT,0,N,2018,31.7
2016,SL_ISV_IFEM,ET07,M,_T,U,_T,_T,PT,0,N,2016,24.7
2018,SL_ISV_IFEM,ET07,M,_T,U,_T,_T,PT,0,N,2018,18.8
2016,SL_ISV_IFEM,ET12,F,_T,U,_T,_T,PT,0,N,2016,52.2
2018,SL_ISV_IFEM,ET12,F,_T,U,_T,_T,PT,0,N,2018,35.7
2016,SL_ISV_IFEM,ET12,M,_T,U,_T,_T,PT,0,N,2016,16.9
2018,SL_ISV_IFEM,ET12,M,_T,U,_T,_T,PT,0,N,2018,18.0
2016,SL_ISV_IFEM,ET13,F,_T,U,_T,_T,PT,0,N,2016,43.9
2018,SL_ISV_IFEM,ET13,F,_T,U,_T,_T,PT,0,N,2018,22.3
2016,SL_ISV_IFEM,ET13,M,_T,U,_T,_T,PT,0,N,2016,20.3
2018,SL_ISV_IFEM,ET13,M,_T,U,_T,_T,PT,0,N,2018,18.3
2016,SL_ISV_IFEM,ET14,F,_T,U,_T,_T,PT,0,N,2016,12.0
2018,SL_ISV_IFEM,ET14,F,_T,U,_T,_T,PT,0,N,2018,9.0
2016,SL_ISV_IFEM,ET14,M,_T,U,_T,_T,PT,0,N,2016,9.5
2018,SL_ISV_IFEM,ET14,M,_T,U,_T,_T,PT,0,N,2018,8.3
2016,SL_ISV_IFEM,ET15,F,_T,U,_T,_T,PT,0,N,2016,42.0
2018,SL_ISV_IFEM,ET15,F,_T,U,_T,_T,PT,0,N,2018,25.4
2016,SL_ISV_IFEM,ET15,M,_T,U,_T,_T,PT,0,N,2016,18.5
2018,SL_ISV_IFEM,ET15,M,_T,U,_T,_T,PT,0,N,2018,14.5
