Year,SERIES,REF_AREA,SEX,AGE,URBANISATION,EDUCATION_LEV,INCOME_WEALTH_QUANTILE,UNIT_MEASURE,UNIT_MULT,REPORTING_TYPE,TIME_DETAIL,Value
2011,SP_LGL_LNDAGSEC,ET,_T,_T,_T,_T,_T,PT,0,N,2011,73.1
2016,SP_LGL_LNDAGSEC,ET,_T,_T,_T,_T,_T,PT,0,N,2016,72.2
2015,D1,ET,F,_T,_T,_T,_T,PT,0,N,2015,0.0
2016,D1,ET,F,_T,_T,_T,_T,PT,0,N,2016,0.01
2017,D1,ET,F,_T,_T,_T,_T,PT,0,N,2017,0.02
2018,D1,ET,F,_T,_T,_T,_T,PT,0,N,2018,0.06
2019,D1,ET,F,_T,_T,_T,_T,PT,0,N,2019,31.0
2015,D1,ET,M,_T,_T,_T,_T,PT,0,N,2015,0.0
2016,D1,ET,M,_T,_T,_T,_T,PT,0,N,2016,0.03
2017,D1,ET,M,_T,_T,_T,_T,PT,0,N,2017,0.04
2018,D1,ET,M,_T,_T,_T,_T,PT,0,N,2018,1.61
2019,D1,ET,M,_T,_T,_T,_T,PT,0,N,2019,0.73
