Year,SERIES,REF_AREA,SEX,AGE,URBANISATION,EDUCATION_LEV,INCOME_WEALTH_QUANTILE,UNIT_MEASURE,UNIT_MULT,REPORTING_TYPE,TIME_DETAIL,Value
2015,SE_PRE_PARTN,ET,_T,_T,_T,_T,_T,PT,0,N,2015,34.2
2016,SE_PRE_PARTN,ET,_T,_T,_T,_T,_T,PT,0,N,2016,43.85
2017,SE_PRE_PARTN,ET,_T,_T,_T,_T,_T,PT,0,N,2017,39.35
2018,SE_PRE_PARTN,ET,_T,_T,_T,_T,_T,PT,0,N,2018,35.4
2019,SE_PRE_PARTN,ET,_T,_T,_T,_T,_T,PT,0,N,2019,42.05
2020,SE_PRE_PARTN,ET,_T,_T,_T,_T,_T,PT,0,N,2020,45.65
2015,SE_PRE_PARTN,ET,F,_T,_T,_T,_T,PT,0,N,2015,32.9
2016,SE_PRE_PARTN,ET,F,_T,_T,_T,_T,PT,0,N,2016,42.8
2017,SE_PRE_PARTN,ET,F,_T,_T,_T,_T,PT,0,N,2017,38.2
2018,SE_PRE_PARTN,ET,F,_T,_T,_T,_T,PT,0,N,2018,34.6
2019,SE_PRE_PARTN,ET,F,_T,_T,_T,_T,PT,0,N,2019,40.9
2020,SE_PRE_PARTN,ET,F,_T,_T,_T,_T,PT,0,N,2020,44.0
2015,SE_PRE_PARTN,ET,M,_T,_T,_T,_T,PT,0,N,2015,35.5
2016,SE_PRE_PARTN,ET,M,_T,_T,_T,_T,PT,0,N,2016,44.9
2017,SE_PRE_PARTN,ET,M,_T,_T,_T,_T,PT,0,N,2017,40.5
2018,SE_PRE_PARTN,ET,M,_T,_T,_T,_T,PT,0,N,2018,36.2
2019,SE_PRE_PARTN,ET,M,_T,_T,_T,_T,PT,0,N,2019,43.2
2020,SE_PRE_PARTN,ET,M,_T,_T,_T,_T,PT,0,N,2020,47.3
